BLItemNo,ElementId,LdrawId,PartName,BLColorId,LDrawColorId,ColorName,ColorCategory,Qty,Weight
15068,6047220,15068.dat,"Slope, Curved 2 x 2 x 2/3",1,15,White,Solid Colors,4,0.57
15712,6348056,15712.dat,"Tile, Modified 1 x 1 with Open O Clip",3,14,Yellow,Solid Colors,2,0.2
22885,6275806,22885.dat,"Brick, Modified 1 x 2 x 1 2/3 with Studs on Side",11,0,Black,Solid Colors,1,0
22888,6133200,22888.dat,"Plate, Round Half 4 x 8",11,0,Black,Solid Colors,2,3.3
22888,6138699,22888.dat,"Plate, Round Half 4 x 8",1,15,White,Solid Colors,2,3.3
24246,6444941,24246.dat,"Tile, Round 1 x 1 Half Circle Extended",63,272,Dark Blue,Solid Colors,4,0
2431,243101,2431.dat,Tile 1 x 4,1,15,White,Solid Colors,1,0.54
25269,6199887,25269.dat,"Tile, Round 1 x 1 Quarter",153,321,Dark Azure,Solid Colors,4,0.1
26047,6157554,26047.dat,"Plate, Round 1 x 1 with Bar Handle",11,0,Black,Solid Colors,2,0.3
27507,6458165,27507.dat,"Tile, Round Corner 4 x 4 Macaroni",11,0,Black,Solid Colors,4,0
27925,6199897,27925.dat,"Tile, Round Corner 2 x 2 Macaroni",153,321,Dark Azure,Solid Colors,4,0.3
28802,6168616,28802.dat,Bracket 1 x 2 - 1 x 4 with Rounded Corners at the Bottom,3,14,Yellow,Solid Colors,1,0
3002,300226,3002.dat,Brick 2 x 3,11,0,Black,Solid Colors,10,1.92
3004,300424,3004.dat,Brick 1 x 2,3,14,Yellow,Solid Colors,2,0.8
3005,300524,3005.dat,Brick 1 x 1,3,14,Yellow,Solid Colors,2,0.44
3020,302001,3020.dat,Plate 2 x 4,1,15,White,Solid Colors,4,1.2
3020,302026,3020.dat,Plate 2 x 4,11,0,Black,Solid Colors,3,1.2
3021,302101,3021.dat,Plate 2 x 3,1,15,White,Solid Colors,2,0.93
3022,302226,3022.dat,Plate 2 x 2,11,0,Black,Solid Colors,2,0.64
3023,302326,3023b.dat,Plate 1 x 2,11,0,Black,Solid Colors,9,0.36
3030,4503008,3030.dat,Plate 4 x 10,1,15,White,Solid Colors,1,5.55
3035,303526,3035.dat,Plate 4 x 8,11,0,Black,Solid Colors,2,4.7
30414,4164073,30414.dat,"Brick, Modified 1 x 4 with Studs on Side",3,14,Yellow,Solid Colors,4,1.7
3069,306901,3069b.dat,Tile 1 x 2,1,15,White,Solid Colors,2,0.26
3070,6254254,3070b.dat,Tile 1 x 1,12,47,Trans-Clear,Transparent Colors,2,0.146
34337,6194808,34337.dat,Wheel  8mm D. x 6mm with Slot,86,71,Light Bluish Gray,Solid Colors,6,0.19
3460,346024,3460.dat,Plate 1 x 8,3,14,Yellow,Solid Colors,4,1.36
3460,346001,3460.dat,Plate 1 x 8,1,15,White,Solid Colors,2,1.36
35654,6359942,35654.dat,Bar 1 x 4 x 1 2/3 (Grille Guard / Push Bumper),11,0,Black,Solid Colors,1,0
3660,366024,3660b.dat,"Slope, Inverted 45 2 x 2 with Flat Bottom Pin",3,14,Yellow,Solid Colors,2,1.25
3710,371024,3710.dat,Plate 1 x 4,3,14,Yellow,Solid Colors,1,0.71
3829c01,73081,3829c01.dat,"Vehicle, Steering Stand 1 x 2 with Black Steering Wheel",11,0,Black,Solid Colors,1,0.6
3937,393726,3937.dat,Hinge Brick 1 x 2 Base,11,0,Black,Solid Colors,1,0.48
3938,393826,3938.dat,Hinge Brick 1 x 2 Top Plate,11,0,Black,Solid Colors,1,0.34
4079,407926,4079.dat,"Minifigure, Utensil Seat / Chair 2 x 2",11,0,Black,Solid Colors,2,1.13
4162,6213268,4162.dat,Tile 1 x 8,153,321,Dark Azure,Solid Colors,2,1.06
4162,416226,4162.dat,Tile 1 x 8,11,0,Black,Solid Colors,1,1.06
44728,6117973,44728.dat,Bracket 1 x 2 - 2 x 2,11,0,Black,Solid Colors,2,0.8
45677,4193073,45677.dat,Wedge 4 x 4 x 2/3 Triple Curved,3,14,Yellow,Solid Colors,1,2.67
4594,6507908,4594.dat,Windscreen 2 x 4 x 2 Vertical,12,47,Trans-Clear,Transparent Colors,1,3.06
4600,6482961,4600.dat,"Plate, Modified 2 x 2 with Wheels Holder",11,0,Black,Solid Colors,3,0.82
48092,6252902,48092.dat,"Brick, Round Corner 4 x 4 Macaroni with 3 Studs",11,0,Black,Solid Colors,4,2.0
60212,4600178,60212.dat,"Vehicle, Mudguard 2 x 4 with Arch Studded with Hole",11,0,Black,Solid Colors,3,1.4
60470b,6310268,60470b.dat,"Plate, Modified 1 x 2 with 2 Open O Clips (Horizontal Grip)",11,0,Black,Solid Colors,1,0.55
4085d,6348065,60897.dat,"Plate, Modified 1 x 1 with Open O Clip Thick (Vertical Grip)",3,14,Yellow,Solid Colors,2,0.29
62113,4521681,62113.dat,Bar 1 x 4 x 3 Grille with End Protrusions,11,0,Black,Solid Colors,1,1.03
63864,4558170,63864.dat,Tile 1 x 3,11,0,Black,Solid Colors,2,0.39
64644,4538456,64644.dat,"Minifigure, Utensil Telescope",11,0,Black,Solid Colors,6,0.22
6636,4252437,6636.dat,Tile 1 x 6,63,272,Dark Blue,Solid Colors,2,0.83
76959,6425507,76959.dat,"Slope, Inverted 45 2 x 2 with Hollow Round Bottom Tube",11,0,Black,Solid Colors,4,0
79393,6451474,79393.dat,"Tile, Round Corner 3 x 3 Macaroni",153,321,Dark Azure,Solid Colors,4,0
87079,6206312,87079.dat,Tile 2 x 4,153,321,Dark Azure,Solid Colors,4,0.9
87079,4566179,87079.dat,Tile 2 x 4,6,2,Green,Solid Colors,1,0.9
87414,4578677,87414.dat,Tire 15mm D. x 6mm Offset Tread Small - Band Around Center of Tread,11,0,Black,Solid Colors,6,0.5
93604,6018101,93604.dat,Wedge 3 x 4 x 2/3 Triple Curved,1,15,White,Solid Colors,2,1.55
99780,6057458,99780.dat,Bracket 1 x 2 - 1 x 2 Inverted,3,14,Yellow,Solid Colors,1,0.55
,,,,,,,,,
Total qty,Total Weight,,,,,,,,
150,136.072,,,,,,,,
